particle,track_length,n_disp,D_alpha,D_alpha_stderr,sigma,sigma_stderr,alpha,alpha_stderr,true_D_um2_s_alpha,true_alpha
307,200,199,0.04100447964032798,0.005874074552924238,0.02587976420056544,0.0013511586603475925,1.478610652220511,0.036508021277772196,0.05,1.5
370,200,199,0.03731413605704713,0.006226419460764441,0.025126978253202266,0.0010533537653680935,1.7595918234639423,0.036425569486634,0.05,1.8
251,200,199,0.03620469790445596,0.003274478644164358,0.01654884706541994,0.0018590219198193836,1.0494465971188627,0.029329943728817143,0.05,1.2
205,200,199,0.05635652983569248,0.004752452774602532,0.02300623281092924,0.0025015102467237493,1.0170172365937773,0.029953639478473182,0.05,1.0
80,200,199,0.0706340031813606,0.005649953993933789,0.026598848369611235,0.005390520065064958,0.8479933868742855,0.025246451777274803,0.05,0.7
235,200,199,0.05868796344940452,0.006861132096855446,0.03554136035496336,0.002413157755871767,1.1389875107943492,0.03675551924502274,0.05,1.0
113,200,199,0.07284557222634189,0.008445570310458526,0.055574702954450675,0.0037521828100953933,0.9913754756557115,0.042448329206933366,0.05,0.7
106,200,199,0.05199659043831443,0.0045608370472096545,0.03199537370840417,0.003683427296923154,0.8072884641421973,0.024824763718942267,0.05,0.7
373,200,199,0.03921010718212186,0.006749562386914643,0.02552506222096699,0.0012366509106314406,1.7205614333423243,0.0404700548357988,0.05,1.8
184,200,199,0.04684784042855497,0.0046030675050859685,0.02228528996886736,0.002668227602469063,0.9397348062947334,0.027162469247975995,0.05,1.0
406,200,199,0.0394693765953228,0.006793780058304392,0.02430848444181187,0.0010598226813682138,1.7299063714862868,0.0428595626104894,0.05,1.8
151,200,199,0.06681347252678915,0.006861038942730876,0.036422043963265,0.0026594159542605543,1.1005265516185287,0.03340639186724004,0.05,0.9
34,200,199,0.058574753298659674,0.004867827279555436,0.033128507720680364,0.008950765858042288,0.5221387186624902,0.028614188808910063,0.05,0.5
100,200,199,0.06927956462207674,0.005949880640882255,0.029195580045867336,0.00404530233997282,0.8249376167395263,0.024841612094990584,0.05,0.7
377,200,199,0.03635514017430376,0.006776663804221941,0.02318878883413178,0.001069794448526491,1.7194601745099085,0.04043462487500915,0.05,1.8
20,200,199,0.04036756763269302,0.003999229316330399,0.05751775948615757,0.005924416598799876,0.48759939562133653,0.034503392838749286,0.05,0.5
40,200,199,0.09083631703593134,0.012218550213895764,0.07768335680118255,0.005038075496501156,0.9080443240371325,0.05304416550044205,0.05,0.5
362,200,199,0.07725073101687083,0.014555187715927731,0.026564631008577422,0.0011762184163819876,1.827229011184679,0.02712498922021045,0.05,1.8
6,200,199,0.06406694446491626,0.007682000912585609,0.06743707311767298,0.005942697015867353,0.7217200843260122,0.043298140736463375,0.05,0.5
53,200,199,0.058454282044428305,0.0072112660651440855,0.0706492981793333,0.004201537759764611,0.7845173443671842,0.04308066013635853,0.05,0.5
241,200,199,0.05670636069746924,0.0061267508765769085,0.02284843594864929,0.0018285740320350824,1.195638091963545,0.03101877571819034,0.05,1.2
162,200,199,0.07681856696415616,0.008076202907344746,0.03260876396143677,0.002832441741876886,1.0889516204697205,0.03126188501806315,0.05,0.9
